id,name,code,script_name
1,Armenian,hye,Armenian
2,Greek (Monotonic),ell,Greek
3,Greek (Polytonic),ell,Greek
4,Gujarati,guj,Gujarati
6,Kachchi,kfr,Gujarati
7,Sanskrit (Gujarati),san,Gujarati
8,Bagheli,bfy,Devanagari
9,Panjabi (Devanagari),pan,Devanagari
10,Bhili,bhb,Devanagari
11,Bihari,bih,Devanagari
12,Bodo (India),brx,Devanagari
13,Braj,bra,Devanagari
14,Dogri,doi,Devanagari
15,Chhattisgarhi,hne,Devanagari
16,Garhwali,gbm,Devanagari
17,Gujari,gju,Devanagari
18,Hadothi,hoj,Devanagari
19,Hindi,hin,Devanagari
20,Ho,hoc,Devanagari
21,Dhundari,dhd,Devanagari
22,Kachchi (Devanagari),kfr,Devanagari
23,Kanauji,bjj,Devanagari
24,Konkani,kok,Devanagari
25,Kullu Pahari,kfx,Devanagari
26,Kumaoni,kfy,Devanagari
27,Korku,kfq,Devanagari
28,Kurukh,kru,Devanagari
29,Magahi,mag,Devanagari
30,Marathi,mar,Devanagari
31,Marwari,mwr,Devanagari
32,Mundari,unr,Devanagari
33,Nepali,npi,Devanagari
34,Newari,new,Devanagari
35,Palpa,plp,Devanagari
36,Sanskrit,san,Devanagari
37,Santali,sat,Devanagari
38,Abaza,abq,Cyrillic
39,Adyghe,ady,Cyrillic
40,Avaric/Avar,ava,Cyrillic
41,Bashkir,bak,Cyrillic
42,Belarusian (Cyrillic),bel,Cyrillic
43,Bosnian (Cyrillic),bos,Cyrillic
44,Bulgarian,bul,Cyrillic
45,Buriat,bua,Cyrillic
46,Chechen,che,Cyrillic
47,Chuvash,chv,Cyrillic
48,Dargwa,dar,Cyrillic
49,Dungan,dng,Cyrillic
50,Erzya,myv,Cyrillic
51,Ingush,inh,Cyrillic
52,Kabardian,kbd,Cyrillic
53,Kalmyk,xal,Cyrillic
54,Kara-Kalpak,kaa,Cyrillic
55,Kazakh,kaz,Cyrillic
56,Komi,kom,Cyrillic
57,Komi-Permyak,koi,Cyrillic
58,Kumyk,kum,Cyrillic
59,Kirghiz,kir,Cyrillic
61,Lezghian,lez,Cyrillic
62,Macedonian,mkd,Cyrillic
63,Moksha,mdf,Cyrillic
64,Mongolian,mon,Cyrillic
66,Nanai,gld,Cyrillic
67,Nogai,nog,Cyrillic
68,Ossetian,oss,Cyrillic
69,Russian,rus,Cyrillic
70,Rusyn,rue,Cyrillic
71,Serbian/Montenegrin (Cyrillic),srp,Cyrillic
72,Tabassaran,tab,Cyrillic
73,Tajik,tgk,Cyrillic
74,Tatar,tat,Cyrillic
75,Turkmen (Cyrillic),tuk,Cyrillic
76,Tuvinian,tyv,Cyrillic
77,Ukrainian,ukr,Cyrillic
78,Uzbek,uzb,Cyrillic
79,Afar,aar,Latin
80,Afrikaans,afr,Latin
81,Albanian,sqi,Latin
82,Asturian/Leonese,ast,Latin
83,Basque,eus,Latin
84,Belarusian (Latin),bel,Latin
85,Breton,bre,Latin
86,Catalan,cat,Latin
87,Chamorro,cha,Latin
88,Nyanja/Chichewa,nya,Latin
89,Cornish,cor,Latin
90,Crimean Tatar,crh,Latin
91,Croatian,hrv,Latin
92,Czech,ces,Latin
93,Danish,dan,Latin
94,Dutch/Flemish,nld,Latin
95,English,eng,Latin
96,Esperanto,epo,Latin
97,Estonian,est,Latin
98,Faroese,fao,Latin
99,Finnish,fin,Latin
100,French,fra,Latin
101,Western Frisian,fry,Latin
102,Friulian,fur,Latin
103,Irish,gle,Latin
104,Scottish Gaelic,gla,Latin
105,Galician,glg,Latin
106,German,deu,Latin
107,Greenlandic,kal,Latin
108,Hawaiian,haw,Latin
109,Hungarian,hun,Latin
110,Icelandic,isl,Latin
111,Ido,ido,Latin
112,Indonesian,ind,Latin
113,Interlingua,ina,Latin
114,Italian,ita,Latin
115,Karelian,krl,Latin
116,Kashubian,csb,Latin
117,Gilbertese,gil,Latin
118,Kurdish,kur,Latin
119,Ladin,lld,Latin
120,Latin,lat,Latin
121,Latvian,lav,Latin
122,Lithuanian,lit,Latin
123,Luxembourgish,ltz,Latin
124,Malay,zlm,Latin
125,Maltese,mlt,Latin
126,Maori,mri,Latin
127,Northern Sotho,nso,Latin
128,Norwegian (Bokmål),nor,Latin
129,Norwegian (Nynorsk),nor,Latin
130,Occitan,oci,Latin
131,Palauan,pau,Latin
132,Polish,pol,Latin
133,Portuguese,por,Latin
134,Maori/Rarotongan,rar,Latin
135,Romany,rom,Latin
136,Romanian/Moldovan,ron,Latin
137,Romansh,roh,Latin
138,Inari Sami,smn,Latin
139,Lule Sami,smj,Latin
140,Northern Sami,sme,Latin
141,Southern Sami,sma,Latin
142,Samoan,smo,Latin
143,Sango,sag,Latin
144,Serbian/Montenegrin (Latin),srp,Latin
145,Shona,sna,Latin
146,Slovak,slk,Latin
147,Slovenian,slv,Latin
148,Lower Sorbian,dsb,Latin
149,Upper Sorbian,hsb,Latin
150,Spanish (Castillian),spa,Latin
151,Swahili,swh,Latin
152,Swati,ssw,Latin
153,Swedish,swe,Latin
154,Tagalog (Filipino),tgl,Latin
155,Tahitian,tah,Latin
156,Tetum,tet,Latin
157,Tokelau,tkl,Latin
158,Tsonga,tso,Latin
159,Tswana,tsn,Latin
160,Turkish,tur,Latin
161,Veps,vep,Latin
162,Wallisian,wls,Latin
163,Walloon,wln,Latin
164,Welsh,cym,Latin
165,Wolof,wol,Latin
166,Yapese,yap,Latin
167,Bosnian (Latin),bos,Latin
168,Turkmen (Latin),tuk,Latin
169,Gondi (Betul dialect),gon,Devanagari
170,Gondi (Chhindwara dialect),gon,Devanagari
171,Gondi (Mandla dialect),gon,Devanagari
172,Azerbaijani/Azeri (Cyrillic),aze,Cyrillic
174,Romanian/Moldovan (Cyrillic),ron,Cyrillic
175,Talysh,tly,Cyrillic
176,Arabic,ara,Arabic
177,Berber,ber,Arabic
178,Moroccan Arabic,ary,Arabic
179,Persian,fas,Arabic
180,Tunisian Arabic,aeb,Arabic
181,Urdu,urd,Arabic
182,Pashto,pus,Arabic
212,Arabic (Latin: DMG),ara,Transliterations
213,Arabic (Latin: ISO 233),ara,Transliterations
214,Arabic (Latin: ISO/R 233),ara,Transliterations
215,Arabic (Latin: UN),ara,Transliterations
216,Arabic (Latin: EI),ara,Transliterations
217,Amharic (Latin),amh,Transliterations
218,Burmese (Latin),mya,Transliterations
219,Greek (Latin),ell,Transliterations
220,Chinese (Latin: Pinyin),zho,Transliterations
221,Indian languages (Latin: Hunterian transliteration),,Transliterations
222,Indian languages (Latin: National Library at Kolkata),,Transliterations
223,Indian languages (Latin: UN),,Transliterations
224,Japanese (Latin: Modified Hepburn),jpn,Transliterations
225,Japanese (Latin: Kunrei),jpn,Transliterations
226,Kazakh (Latin),kaz,Transliterations
227,Central Khmer (Latin),khm,Transliterations
228,Korean (Latin: McCune Reischauer),kor,Transliterations
229,Korean (Latin: National standard),kor,Transliterations
230,Kirghiz (Latin),kir,Transliterations
231,Lao (Latin),lao,Transliterations
232,Macedonian (Latin),mkd,Transliterations
233,Mongolian (Latin),mon,Transliterations
234,Nepali (Latin),npi,Transliterations
235,Pali (Latin: Rhys Davids system),pli,Transliterations
236,Russian (Latin),rus,Transliterations
237,Sanskrit (Latin: IAST),san,Transliterations
238,Tajik (Latin),tgk,Transliterations
239,Ukrainian (Latin),ukr,Transliterations
240,Urdu (Latin),urd,Transliterations
241,Uzbek (Latin),uzb,Transliterations
242,Inuktitut,iku,Inuktitut
243,Vietnamese,vie,Latin
244,Azerbaijani/Azeri (Latin),aze,Latin
245,Ulithian,uli,Latin
246,Igbo,ibo,Latin
247,Manx,glv,Latin
248,Corsican,cos,Latin
249,Ume Sami,sju,Latin
250,Pite Sami,sje,Latin
251,Skolt Sami,sms,Latin
252,Kashmiri,kas,Devanagari
,Northern Khmer (Latin),kxm,Latin
,Northern Frisian,frr,Latin
,Eastern Frisian,frs,Latin
,Saterland Frisian,stq,Latin
